dataset,scenario,model,signal,metric,spearman_mean,spearman_std,pearson_mean,pearson_std,n_seeds_valid
lsac,no_drift,lr,global_mean,DI_star,-0.011013614590302817,0.21043675021254163,-0.026610387952697954,0.2024624028828278,20
lsac,no_drift,lr,global_mean,AOD_star,0.04781954887218045,0.22312698649014925,0.05481948183544903,0.23398849396701218,20
lsac,no_drift,lr,global_mean,BalAcc,0.04804511278195488,0.23611631243261794,0.06591591385688937,0.22787292087077,20
lsac,no_drift,lr,global_ewma,DI_star,0.07108502666209446,0.2800859733447661,0.0530329728614549,0.28411223025753385,20
lsac,no_drift,lr,global_ewma,AOD_star,0.05661654135338344,0.23597060088948088,0.05553339636195446,0.24906615069353477,20
lsac,no_drift,lr,global_ewma,BalAcc,-0.02887218045112781,0.20904127140752893,-0.03589986063991481,0.20457185923890375,20
lsac,no_drift,lr,global_std,DI_star,-0.046753306646817386,0.21482995023813106,-0.024202616836424024,0.19196395960745904,20
lsac,no_drift,lr,global_std,AOD_star,0.01428571428571428,0.21030788883618462,0.03368947275623622,0.20869763902132138,20
lsac,no_drift,lr,global_std,BalAcc,0.01526315789473684,0.23665861133918287,0.029663157013969942,0.21392822504010225,20
lsac,no_drift,lr,subgroup_violation_diff,DI_star,-0.08546695919777396,0.20924610256276696,-0.10981240807925752,0.1991312062057044,20
lsac,no_drift,lr,subgroup_violation_diff,AOD_star,-0.14052631578947367,0.24260513240351791,-0.1550909774653328,0.22502079997139554,20
lsac,no_drift,lr,subgroup_violation_diff,BalAcc,-0.10210526315789473,0.2839179382667203,-0.05682049630872784,0.31276607205757584,20
lsac,no_drift,lr,max_subgroup_deviation,DI_star,0.0013470692270178997,0.24483572193640643,0.0005527138862806192,0.2284313697822176,20
lsac,no_drift,lr,max_subgroup_deviation,AOD_star,0.07360902255639096,0.2535707903925264,0.07355641117151925,0.25642689156609877,20
lsac,no_drift,lr,max_subgroup_deviation,BalAcc,0.045789473684210526,0.24347786081976203,0.05035356273689007,0.23003993642160714,20
lsac,no_drift,lr,assignment_proportion_drift,DI_star,0.08542051251913865,0.2165148856965975,0.07838544876385956,0.20402034688691612,20
lsac,no_drift,lr,assignment_proportion_drift,AOD_star,0.06418356708849518,0.22490245950998947,0.06590562888676924,0.21889069208096565,20
lsac,no_drift,lr,assignment_proportion_drift,BalAcc,0.051753907349883575,0.24391073420615839,0.036428904450793984,0.2541350493099706,20
lsac,no_drift,lr,ks_statistic,DI_star,-0.025336041878549587,0.2563793809497842,-0.04489532770102661,0.25824619612472444,20
lsac,no_drift,lr,ks_statistic,AOD_star,-0.030977443609022548,0.29343867864771905,-0.03232997492268255,0.2721882204580981,20
lsac,no_drift,lr,ks_statistic,BalAcc,0.02947368421052631,0.19790319245139115,0.0386299497429587,0.20088802894757948,20
lsac,no_drift,lr,kl_divergence,DI_star,-0.013858390648292213,0.20355622511264082,-0.022448611136376327,0.198162909012589,20
lsac,no_drift,lr,kl_divergence,AOD_star,-0.013984962406015045,0.18527518025633508,-0.024657999895815554,0.18710488999634092,20
lsac,no_drift,lr,kl_divergence,BalAcc,0.04105263157894736,0.22274534754389522,0.05100604197294221,0.20374855751831966,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],DI_star,0.016963875623130426,0.2682617928169438,0.023998681323113696,0.2595452691606822,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],AOD_star,0.013308270676691719,0.2202339065616647,0.031207115470479985,0.22279846383974716,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],BalAcc,-0.01398496240601504,0.22012752048663745,0.0013238452716278527,0.23515793875726876,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],DI_star,-0.07961814401749497,0.1911498082576283,-0.07422754038417664,0.17445569174575631,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],AOD_star,-0.021052631578947358,0.19919108277099354,-0.004138751532476283,0.1995748915614058,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],BalAcc,0.04398496240601503,0.24199309735344468,0.081844352293988,0.2387848610662321,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],DI_star,-0.015369744530279672,0.2049821047551032,-0.02684908225487686,0.21712664339470003,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],AOD_star,0.01105263157894737,0.21663493957199118,0.02056284261487856,0.22778604703254793,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],BalAcc,-0.02097744360902257,0.25527150705559104,-0.019543849709484907,0.25851093738247344,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],DI_star,-0.028991516272884786,0.1759036439046882,-0.028713677194509006,0.16836122824649138,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],AOD_star,0.005488721804511281,0.23088866705191805,0.010002913029635904,0.22169237691244956,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],BalAcc,-0.023233082706766918,0.26470799107353665,-0.04223030090260763,0.25511777532191887,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],DI_star,0.053023896236345,0.30826102928828564,0.08312841367053932,0.2876604975636116,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],AOD_star,0.03789473684210526,0.27686068721765533,0.07594914784179602,0.2872823510108017,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],BalAcc,0.012932330827067679,0.21704223607486023,-0.023742215347748064,0.22810804498251444,20
